이름,성별,전화번호,나이,현재 체중,목표 체중,키,회원 가입일,회원 정보 갱신일,흡연 여부,음주 여부,가입 개월 수,개인상담 요청
문장우,남성,010-6677-7652,32,80,70,173,2018년 02월 09일,2018년 02월 09일,아니오,월 1회,6개월,아니요
황채아,여,010-7758-8785,,55 kg,46 kg,170,2018년 02월 21일,2018년 02월 21일,아니오,월 2회,3개월,아니요
박서현,여성,01019295153,28,0,0,171,2018년 01월 03일,2018년 01월 03일,아니오,주 1회,0개월,예
최소윤,여,010-7785-1911,36,0,0,172,2018년 01월 31일,2018년 01월 31일,아니오,월 2회,0개월,예
백성준,남,010-5513-5523,37,23kg,16kg,174,2018년 02월 02일,2018년 02월 02일,아니오,주 1회,3개월,아니요
임채영,여,01018858888,34 세,62,60,167,2018년 02월 07일,2018년 02월 07일,아니오,안 마심,0개월,아니요
서슬윤,여성,01058474174,24 세,55,52,170,2018년 01월 20일,2018년 03월 10일,예,주 1회,0개월,아니요
최소영,Female,01099997874,38,52,50,168,2018년 02월 11일,2018년 02월 11일,아니오,월 1회,3개월,아니요
박지현,여,01082988339,36,58,49,168,2018년 02월 09일,2018년 02월 09일,아니오,주 1회,0개월,예
윤주찬,남,010-5874-6441,28,81,78,173,2018년 02월 11일,2018년 02월 11일,아니오,주 1회,0개월,아니요
안설희,Female,01059923646,32,64kg,62kg,170,2018년 01월 01일,2018년 01월 29일,아니오,주 1회,0개월,아니요
허한수,Male,unknown,35,78,76,175,2018년 02월 27일,2018년 04월 16일,아니오,안 마심,0개월,아니요
신동완,MALE,01027478891,,0,0,178,2018년 01월 08일,2018년 03월 24일,아니오,주 1회,0개월,아니요
오은섭,male,010-8324-9196,36,88,84,174,2018년 02월 23일,2018년 05월 28일,예,안 마심,0개월,아니요
권지민,여,01053661128,26,65,61,167,2018년 01월 29일,2018년 02월 01일,아니오,월 2회,0개월,아니요
안연우,남성,010-8467-4293,30,81,74,0,2018년 02월 14일,2018년 02월 14일,아니오,주 1회,3개월,아니요
정동연,male,010-4534-1454,35,82,77,178,2018년 01월 02일,2018년 03월 20일,예,주 1회,3개월,아니요
황대연,남,01026675666,25,81 kg,74 kg,178,2018년 02월 05일,2018년 02월 05일,아니오,주 1회,3개월,아니요
조서우,여성,010-4159-8137,20,65 kg,64 kg,172,2018년 02월 18일,2018년 02월 18일,아니오,주 1회,0개월,아니요
류슬희,여,01092632568,24,59,52,165,2018년 01월 19일,2018년 02월 10일,아니오,월 1회,3개월,아니요
전슬아,여성,010-2892-4531,27,59 kg,58 kg,167,2018년 01월 06일,2018년 02월 13일,예,주 2회,3개월,아니요
백채우,여성,010-4753-8899,,63,57,164,2018년 01월 10일,2018년 01월 10일,아니오,주 1회,0개월,아니요
유연우,남성,010-4926-3756,41 세,80,75,174,2018년 02월 05일,2018년 02월 05일,예,월 2회,3개월,아니요
최수윤,여,010-2556-2459,32,56,55,165,2018년 01월 11일,2018년 01월 11일,아니오,월 1회,0개월,아니요
한윤오,남성,010-6435-3561,36,80,77,173,2018년 01월 22일,2018년 01월 22일,아니오,월 2회,0개월,아니요
안민서,남,01073489929,38,78,72,174,2018년 01월 31일,2018년 01월 31일,아니오,주 2회,3개월,아니요
황준호,male,010-5983-8965,42,75,69,172,2018년 01월 06일,2018년 03월 05일,아니오,월 2회,0개월,아니요
신설영,여성,01048976615,,0,0,178,2018년 01월 15일,2018년 01월 15일,아니오,월 2회,0개월,아니요
최수한,남성,010-7619-8711,38,80kg,77kg,172,2018년 02월 18일,2018년 02월 18일,아니오,월 1회,0개월,예
조장우,Male,010-6195-2568,28,76,74,168,2018년 02월 12일,2018년 02월 12일,예,주 1회,3개월,아니요
이민종,male,01011548119,37,0,0,176,2018년 02월 10일,2018년 02월 10일,아니오,월 2회,0개월,아니요
최윤우,남성,010-3354-5223,36,79,72,179,2018년 01월 11일,2018년 01월 27일,아니오,안 마심,0개월,아니요
